MHT_NUM,MHT,UnitNum,length_m,width_m,tot_area_m2,rkm.up,Comments
RRPOMA_026,RRPOMA,26,7.6,39.3,298.68,376.642,Boulder scour pool small boulder control at bottom
RRPOMASP_027,RRPOMASP,27,10.7,37.5,401.25,376.6344,
RRLSSP_028,RRLSSP,28,82.9,37.8,3133.62,376.6237,SPISL at bottom
SCISL02B_029,SCISL02B,29,68,,,376.5408,
RRPOMA_030,RRPOMA,30,25.9,23.2,600.88,376.4728,
SESSMA_031,SESSMA,31,23.5,23.5,552.25,376.4469,LB LDS Scour
RRPOMA_032,RRPOMA,32,20.4,23.5,479.4,376.4234,LB LDS Scour
RRPOMASP_033,RRPOMASP,33,15.5,26.8,415.4,376.403,Plunge
RRPOMASP_034,RRPOMASP,34,46,28.3,1301.8,376.3875,
SESSMA_035,SESSMA,35,66.1,23.2,1533.52,376.3415,Series of riffle/sours
RRPOMA_036,RRPOMA,36,103.6,21.6,2237.76,376.2754,Mid channel boulder scour awesome pool!
RRLSMA_037,RRLSMA,37,19.8,14,277.2,376.1718,Large boulders mid channel
RRMSMA_038,RRMSMA,38,33.2,17.1,567.72,376.152,LBLDS scour
RRPOMA_039,RRPOMA,39,15.2,15.2,231.04,376.1188,Diagonal Control
RRLSMA_040,RRLSMA,40,91.7,21.3,1953.21,376.1036,LBLDS scour pool
SESSMA_041,SESSMA,41,34.4,29.3,1007.92,376.0119,Mid channel pool
RRPOMA_042,RRPOMA,42,33.2,21.3,707.16,375.9775,
RRMSMA_043,RRMSMA,43,23.8,19.8,471.24,375.9443,
RRPOMA_044,RRPOMA,44,111.9,3.4,380.46,375.9205,
RRLSMA_045,RRLSMA,45,44.8,23.5,1052.8,375.8086,
SESSMA_046,SESSMA,46,110,32.9,3619,375.7638,
RRLSSP_047,RRLSSP,47,24.4,36.6,893.04,375.6538,
RRLSSP_048,RRLSSP,48,14.3,24.4,348.92,375.6294,
RRLSSP_049,RRLSSP,49,84.7,36,3049.2,375.6151,
SPISL02B_050,SPISL02B,50,78.9,,,375.5304,
RRLSMA_051,RRLSMA,51,109.7,45.7,5013.29,375.4515,
SCISL03B_052,SCISL03B,52,116.4,,,375.3418,
RRMSMA_053,RRMSMA,53,411.2,58.5,24055.2,375.2254,
SCISL04B_054,SCISL04B,54,70.7,,,374.8142,
RRLSMA_055,RRLSMA,55,1109.2,75,83190,374.7435,SPANING GRAVEL POWE LINES CROSS RIVER
SCISL05B_056,SCISL05B,56,55.5,,,373.6343,
RRLSMA_057,RRLSMA,57,207.9,66.8,13887.72,373.5788,
SCISL06B_058,SCISL06B,58,153.3,,,373.3709,
RRPOMA_059,RRPOMA,59,25.6,68.3,1748.48,373.2176,
SCISL07B_060,SCISL07B,60,33.2,,,373.192,
RRLSMA_061,RRLSMA,61,23.5,67.1,1576.85,373.1588,
SCISL08B_062,SCISL08B,62,219.2,,,373.1353,
SESSMA_063,SESSMA,63,74.4,33.2,2470.08,372.9161,
RRLSMA_064,RRLSMA,64,131.4,34.1,4480.74,372.8417,
RRPOMA_065,RRPOMA,65,128.3,38.7,4965.21,372.7103,
RRLSMA_066,RRLSMA,66,612.7,56.7,34740.09,372.582,SPAWNING GRAVEK THROUGHOUT
RRPOMA_067,RRPOMA,67,78,79.6,6208.8,371.9693,
SPISL03B_068,SPISL03B,68,80.5,,,371.8913,
RRLSMA_069,RRLSMA,69,60,40.2,2412,371.8108,
RRMSMA_070,RRMSMA,70,94.8,41.5,3934.2,371.7508,
RRPOMA_071,RRPOMA,71,183.8,48.2,8859.16,371.656,CORNER POOL LEFT HAND BEND LOOKING DOWNSTREAM
SESSMA_072,SESSMA,72,19.5,38.7,754.65,371.4722,
RRPOMA_073,RRPOMA,73,93.3,48.2,4497.06,371.4527,
SPISL04B_074,SPISL04B,74,51.2,,,371.3594,
SESSMA_075,SESSMA,75,16.5,45.7,754.05,371.3082,
RRPOMA_076,RRPOMA,76,136.2,43.6,5938.32,371.2917,SPAWNING GRAVEL LEFT BANK LOOKING DOWNSTREAM
RRLSMA_077,RRLSMA,77,210,57.3,12033,371.1555,SPAWNING GRAVEL THROUGHOUT
RRMSMA_078,RRMSMA,78,63.1,59.4,3748.14,370.9455,SPAWNING HABITAT AT TOP LEFT LOOKING DOWNSTREAM
RRPOMA_079,RRPOMA,79,117.3,39.9,4680.27,370.8824,SPAWNING GRAVEL LEFT BANK LOOKING DOWNSTREAM
RRLSMA_080,RRLSMA,80,57.3,25.9,1484.07,370.7651,SPAWNING GRAVEL THROUGHOUT
SESSMA_081,SESSMA,81,34.1,27.7,944.57,370.7078,
RRPOMA_082,RRPOMA,82,60.7,18.9,1147.23,370.6737,POSSIBLE SPAWING GRAVEL RIGHT BANK LOOKING DOWNSTREAM
RRMSMA_083,RRMSMA,83,41.1,32.9,1352.19,370.613,
RRPOMA_084,RRPOMA,84,57.6,45.7,2632.32,370.5719,
RRLSMA_085,RRLSMA,85,55.8,39.6,2209.68,370.5143,
SESSMA_086,SESSMA,86,282.9,20.1,5686.29,370.4585,
SESSMA_087,SESSMA,87,86.2,137.8,11878.36,370.1756,End of Survey - Top of JC Boyle Reservoir
RRLSMA_088,RRLSMA,88,28.5,92.7,2641.95,370.0894,
RRPOMA_089,RRPOMA,89,73.4,105.2,7721.68,370.0609,
SCISL01A_090,SCISL01a,90,80.8,,,369.9875,
RRMSMA_091,RRMSMA,91,71.3,87.5,6238.75,369.9067,Trib lb at lower third of unit
RRPOMA_092,RRPOMA,92,66.9,100.6,6730.14,369.8354,
RRLSMA_093,RRLSMA,93,93.4,82.9,7742.86,369.7685,
RRPOMA_094,RRPOMA,94,39.6,128,5068.8,369.6751,corner right bend us
RRPOMA_095,RRPOMA,95,58,89.6,5196.8,369.6355,
RRLSMA_096,RRLSMA,96,25.3,89.9,2274.47,369.5775,
RRPOMA_097,RRPOMA,97,63.8,101.5,6475.7,369.5522,
RRLSMA_098,RRLSMA,98,53.2,97.8,5202.96,369.4884,
RRPOMA_099,RRPOMA,99,50.2,150,7530,369.4352,
RRLSMA_100,RRLSMA,100,44.1,107.9,4758.39,369.385,
SCISL02A_101,SCISL02a,101,79.8,,,369.3409,
SPISL01A_102,SPISL01a,102,123.3,,,369.2611,
RRLSSP_103,RRLSSP,103,11.1,93.9,1042.29,369.1378,Rock weir RB SPC us
RRMSMA_104,RRMSMA,104,7.9,102.4,808.96,369.1267,bottom of SPC Island
RRPOMA_105,RRPOMA,105,32,99.7,3190.4,369.1188,Bridge top
RRPOMA_106,RRPOMA,106,67.6,122.8,8301.28,369.0868,Top Gods comb
RRMSMA_107,RRMSMA,107,24.3,83.8,2036.34,369.0192,
RRPOMA_108,RRPOMA,108,21.8,59.1,1288.38,368.9949,
SESSMA_109,SESSMA,109,16,63.4,1014.4,368.9731,
RRMSMA_110,RRMSMA,110,32.6,64,2086.4,368.9571,Boulders
SESSMA_111,SESSMA,111,9.4,61.9,581.86,368.9245,
RRMSMA_112,RRMSMA,112,31.6,57.3,1810.68,368.9151,Boulders
RRPOMA_113,RRPOMA,113,10.3,57.6,593.28,368.8835,
RRPOMA_114,RRPOMA,114,16.3,51.8,844.34,368.8732,
SESSMA_115,SESSMA,115,5.8,46.6,270.28,368.8569,
RRPOMA_116,RRPOMA,116,12.9,58.2,750.78,368.8511,
SESSMA_117,SESSMA,117,10.4,73.5,764.4,368.8382,
RRPOMA_118,RRPOMA,118,32.2,90.5,2914.1,368.8278,
SESSMA_119,SESSMA,119,86.2,61.3,5284.06,368.7956,
RRLSMA_120,RRLSMA,120,28.5,94.5,2693.25,368.7094,
RRPOMA_121,RRPOMA,121,73.4,73.5,5394.9,368.6809,
RRLSMA_122,RRLSMA,122,31.1,94.5,2938.95,368.6075,
RRPOMA_123,RRPOMA,123,25.6,73.5,1881.6,368.5764,
RRMSMA_124,RRMSMA,124,12.1,68.3,826.43,368.5508,
RRLSMA_125,RRLSMA,125,80.8,94.5,7635.6,368.5387,
RRMSMA_126,RRMSMA,126,71.3,68.3,4869.79,368.4579,
RRPOMA_127,RRPOMA,127,66.9,73.5,4917.15,368.3866,
RRLSMA_128,RRLSMA,128,93.4,94.5,8826.3,368.3197,
SESSMA_129,SESSMA,129,86.2,61.3,5284.06,368.2263,
RRLSMA_130,RRLSMA,130,28.5,94.5,2693.25,368.1401,
RRPOMA_131,RRPOMA,131,73.4,73.5,5394.9,368.1116,
RRLSMA_132,RRLSMA,132,31.1,94.5,2938.95,368.0382,
RRPOMA_133,RRPOMA,133,25.6,73.5,1881.6,368.0071,
RRMSMA_134,RRMSMA,134,12.1,68.3,826.43,367.9815,
RRLSMA_135,RRLSMA,135,80.8,94.5,7635.6,367.9694,
RRMSMA_136,RRMSMA,136,71.3,68.3,4869.79,367.8886,
RRPOMA_137,RRPOMA,137,66.9,73.5,4917.15,367.8173,
RRLSMA_138,RRLSMA,138,93.4,94.5,8826.3,367.7504,
SESSMA_139,SESSMA,139,52.7,23.2,1222.64,367.657,Top of JC Boyle Bypass
RRPOMA_140,RRPOMA,140,14,24.1,337.4,367.6043,Chute/Rapid RB 
SESSMA_141,SESSMA,141,3,20.4,61.2,367.5903,
RRPOMA_142,RRPOMA,142,36.3,15.8,573.54,367.5873,
RRPOMA_143,RRPOMA,143,40.5,17.1,692.55,367.551,
SESSMA_144,SESSMA,144,19.8,20.4,403.92,367.5105,
RRPOMA_145,RRPOMA,145,35.7,27.1,967.47,367.4907,Small riffle (~10 feet long) between Pow and Run 
RRLSMA_146,RRLSMA,146,30.8,19.5,600.6,367.455,Fast 
SESSMA_147,SESSMA,147,16.5,14.6,240.9,367.4242,Rapid 
RRPOMA_148,RRPOMA,148,16.5,14.6,240.9,367.4077,
RRPOMA_149,RRPOMA,149,37.5,21,787.5,367.3912,Straight Scour; BW LB 
SCISL03A_150,SCISL03a,150,11.6,,,367.3537,
SESSMA_151,SESSMA,151,5.2,18,93.6,367.3421,
RRPOMA_152,RRPOMA,152,11,20.1,221.1,367.3369,
SESSMA_153,SESSMA,153,18.6,19.5,362.7,367.3259,
SESSMA_154,SESSMA,154,7.3,15.8,115.34,367.3073,
RRPOMA_155,RRPOMA,155,17.4,17.7,307.98,367.3,Pool-like 
SESSMA_156,SESSMA,156,14,18.6,260.4,367.2826,
RRPOMA_157,RRPOMA,157,5.5,17.4,95.7,367.2686,
SESSMA_158,SESSMA,158,17.7,18,318.6,367.2631,
RRLSMA_159,RRLSMA,159,34.7,20.7,718.29,367.2454,Some Pool mid-unit - did not break out 
SESSMA_160,SESSMA,160,8.8,20.7,182.16,367.2107,
SESSMA_161,SESSMA,161,1.8,21.6,38.88,367.2019,Step 
RRPOMA_162,RRPOMA,162,8.2,20.4,167.28,367.2001,
SESSMA_163,SESSMA,163,3,21,63,367.1919,Step 
RRPOMA_164,RRPOMA,164,24.4,20.4,497.76,367.1889,
RRPOMA_165,RRPOMA,165,14.6,24.1,351.86,367.1645,Boulder mid-channel 
SESSMA_166,SESSMA,166,2.7,22.9,61.83,367.1499,Step 
RRPOMA_167,RRPOMA,167,87.8,31.1,2730.58,367.1472,Flat-water; run and pool areas 
RRMSMA_168,RRMSMA,168,3.4,29.9,101.66,367.0594,Top SC LB @ 1831 
RRPOMA_169,RRPOMA,169,19.2,29.6,568.32,367.056,
RRPOMA_170,RRPOMA,170,19.8,32,633.6,367.0368,Boulder Scour - large bld's in channel; some pockets 
RRPOMA_171,RRPOMA,171,61.9,31.1,1925.09,367.017,
RRPOMA_172,RRPOMA,172,31.7,36,1141.2,366.9551,Boulder Scour 
RRPOMA_173,RRPOMA,173,20.4,30.2,616.08,366.9234,
SESSMA_174,SESSMA,174,4.9,27.1,132.79,366.903,Step 
RRPOMA_175,RRPOMA,175,54.9,26.5,1454.85,366.8981,
RRPOMA_176,RRPOMA,176,14.3,22.6,323.18,366.8432,
RRPOMA_177,RRPOMA,177,10.7,20.7,221.49,366.8289,
SESSMA_178,SESSMA,178,7,24.1,168.7,366.8182,Step 
RRPOMA_179,RRPOMA,179,5.2,26.2,136.24,366.8112,
RRPOMA_180,RRPOMA,180,12.2,24.4,297.68,366.806,
RRPOMA_181,RRPOMA,181,31.1,23.8,740.18,366.7938,MC Pool 
RRMSMA_182,RRMSMA,182,3.4,22.6,76.84,366.7627,Step between pools 
RRPOMA_183,RRPOMA,183,24.1,19.2,462.72,366.7593,Trail access from road? 
RRPOMA_184,RRPOMA,184,23.5,22.9,538.15,366.7352,N 42o 05.319'; W 122o 03.753' 
SESSMA_185,SESSMA,185,31.4,19.5,612.3,366.7117,Some POW 
RRPOMA_186,RRPOMA,186,42.1,22.6,951.46,366.6803,
RRPOMA_187,RRPOMA,187,16.8,23.8,399.84,366.6382,Pool-like LB mid-unit 
RRPOMA_188,RRPOMA,188,17.7,28.7,507.99,366.6214,
SESSMA_189,SESSMA,189,2.4,31.1,74.64,366.6037,Step 
RRPOMA_190,RRPOMA,190,24.1,25.3,609.73,366.6013,w/Step RB 
SESSMA_191,SESSMA,191,4.3,27.7,119.11,366.5772,Step 
RRPOMA_192,RRPOMA,192,11,34.1,375.1,366.5729,
RRPOMA_193,RRPOMA,193,70.7,31.4,2219.98,366.5619,Some pockets at bottom 
RRMSMA_194,RRMSMA,194,7.3,27.4,200.02,366.4912,Step - deep slot RB; some gravel in unit r/g u/s 
RRLSMA_195,RRLSMA,195,12.8,33.5,428.8,366.4839,Mostly Glide 
RRPOMA_196,RRPOMA,196,58.8,23.8,1399.44,366.4711,Trail access from road?; starting Big Bend 
SESSMA_197,SESSMA,197,60,13.1,786,366.4123,Rapids - some Pow - all white water 
RRPOMA_198,RRPOMA,198,11,11,121,366.3523,Rapids - Chute all white water 
RRPOMA_199,RRPOMA,199,10.7,13.4,143.38,366.3413,Rapids - all white water - plunge pool; flyfisherman 
SESSMA_200,SESSMA,200,17.1,19.2,328.32,366.3306,
RRPOMA_201,RRPOMA,201,16.2,15.8,255.96,366.3135,Trench - narrow; fast 
SESSMA_202,SESSMA,202,23.2,19.8,459.36,366.2973,w/pockets 
SESSMA_203,SESSMA,203,18.6,21.6,401.76,366.2741,
RRPOMA_204,RRPOMA,204,20.4,28.7,585.48,366.2555,split - mult. WSE 
RRPOMA_205,RRPOMA,205,25.6,36.9,944.64,366.2351,near mid-point of bend in channel; ~ 80 feet wide 
RRPOMA_206,RRPOMA,206,14.3,30.2,431.86,366.2095,
RRMSMA_207,RRMSMA,207,3.7,27.1,100.27,366.1952,Step; mostly boulder 
RRPOMA_208,RRPOMA,208,15.5,25.9,401.45,366.1915,
RRLSMA_209,RRLSMA,209,21.9,24.4,534.36,366.176,
RRPOMA_210,RRPOMA,210,85.3,21.9,1868.07,366.1541,
RRMSMA_211,RRMSMA,211,7,21.3,149.1,366.0688,Step; boulder; TRV; deep 
RRPOMA_212,RRPOMA,212,19.5,18.9,368.55,366.0618,
RRPOMA_213,RRPOMA,213,18.6,18.3,340.38,366.0423,
SESSMA_214,SESSMA,214,9.1,19.5,177.45,366.0237,
RRPOMA_215,RRPOMA,215,16.2,18.6,301.32,366.0146,Trench 
SESSMA_216,SESSMA,216,3.7,20.4,75.48,365.9984,
RRPOMA_217,RRPOMA,217,8.8,22.9,201.52,365.9947,Plunge 
SESSMA_218,SESSMA,218,4,17.7,70.8,365.9859,Slide LB - water flows under boulders LB 
RRPOMA_219,RRPOMA,219,46.9,16.8,787.92,365.9819,Corner; N 42o 05.207'; W 122o 03.442' 
SESSMA_220,SESSMA,220,42.7,25,1067.5,365.935,
RRPOMA_221,RRPOMA,221,49.7,28,1391.6,365.8923,w/Step 
RRPOMA_222,RRPOMA,222,59.7,18.6,1110.42,365.8426,Straight Scour 
SESSMA_223,SESSMA,223,25,17.7,442.5,365.7829,
RRPOMA_224,RRPOMA,224,28,17.7,495.6,365.7579,Fast/Narrow; next 5 units in Step/Rapid - white water 
SESSMA_225,SESSMA,225,1.8,18,32.4,365.7299,Step 
RRPOMA_226,RRPOMA,226,11,22.6,248.6,365.7281,Plunge 
SESSMA_227,SESSMA,227,5.8,19.5,113.1,365.7171,Step 
RRPOMA_228,RRPOMA,228,24.7,20.7,511.29,365.7113,Spring/Seep LB @ 6460 
SESSMA_229,SESSMA,229,4.6,18,82.8,365.6866,
RRPOMA_230,RRPOMA,230,18.9,14.6,275.94,365.682,Pow @ bottom 
RRPOMA_231,RRPOMA,231,24.4,16.8,409.92,365.6631,Large boulder mid-chan @ top; corner 
SESSMA_232,SESSMA,232,25.3,18.6,470.58,365.6387,
RRPOMA_233,RRPOMA,233,16.5,29.6,488.4,365.6134,Some pockets 
RRPOMA_234,RRPOMA,234,37.5,37.8,1417.5,365.5969,SC starts RB @ top (Boulder Bar) 
SCISL04A_235,SCISL04a,235,51,,,365.5594,
RRPOMA_236,RRPOMA,236,10.1,33.8,341.38,365.5084,Water flowing under boulders LB 
SESSMA_237,SESSMA,237,4,29.3,117.2,365.4983,Water flowing under boulders LB 
RRLSMA_238,RRLSMA,238,10.1,28,282.8,365.4943,Water flowing under boulders LB 
SESSMA_239,SESSMA,239,7,29,203,365.4842,Step 
RRPOMA_240,RRPOMA,240,17.7,25.9,458.43,365.4772,
SESSMA_241,SESSMA,241,3.4,25.3,86.02,365.4595,Step 
RRPOMA_242,RRPOMA,242,32.3,29.6,956.08,365.4561,
RRLSMA_243,RRLSMA,243,60.7,28,1699.6,365.4238,4 feet deep 
RRPOMA_244,RRPOMA,244,17.7,20.7,366.39,365.3631,
RRPOMA_245,RRPOMA,245,27.7,16.8,465.36,365.3454,Some pockets
RRPOMA_246,RRPOMA,246,14.6,19.5,284.7,365.3177,Looks deep
RRLSMA_247,RRLSMA,247,32.3,16.8,542.64,365.3031,w/submerged boulders 
RRPOMA_248,RRPOMA,248,22.6,16.8,379.68,365.2708,Boulder @ top mid-chan; small step pool to run 
RRPOMA_249,RRPOMA,249,15.2,14,212.8,365.2482,small boulder step between run and pool 
RRPOMA_250,RRPOMA,250,31.1,15.8,491.38,365.233,w/small break mid-pool
RRPOMA_251,RRPOMA,251,26.2,16.8,440.16,365.2019,Note:_pools_in_this_streatch_run-like;_quiet_margins
RRPOMA_252,RRPOMA,252,7.6,17.4,132.24,365.1757,
SESSMA_253,SESSMA,253,1.8,18.6,33.48,365.1681,Step
RRPOMA_254,RRPOMA,254,11.6,15.8,183.28,365.1663,Step_between_pools
RRPOMA_255,RRPOMA,255,14.6,18.9,275.94,365.1547,
RRPOMA_256,RRPOMA,256,17.7,24.4,431.88,365.1401,
SESSMA_257,SESSMA,257,103.6,24.7,2558.92,365.1224,w/pockets_-_long_rapid;_Spring?_Seep_LB_@_8528
RRLSMA_258,RRLSMA,258,15.2,27.7,421.04,365.0188,Mult._WSE;_Spring?_Seep_LB_@_8706
SESSMA_259,SESSMA,259,12.8,24.1,308.48,365.0036,
RRPOMA_260,RRPOMA,260,12.2,25,305,364.9908,
SESSMA_261,SESSMA,261,4,25.3,101.2,364.9786,Step;_Tallis_slope_LB
RRLSMA_262,RRLSMA,262,54.3,23.5,1276.05,364.9746,Run-like_@_bottom_(few_boulders)
SESSMA_263,SESSMA,263,23.8,28.3,673.54,364.9203,w/pockets_-_flow_under_boulders_into_hole_LB_@
RRPOMA_264,RRPOMA,264,18,29,522,364.8965,
RRPOMA_265,RRPOMA,265,18.9,29.6,559.44,364.8785,
RRPOMA_266,RRPOMA,266,57.6,32.6,1877.76,364.8596,
RRPOMA_267,RRPOMA,267,18,26.2,471.6,364.802,
RRPOMA_268,RRPOMA,268,34.7,23.8,825.86,364.784,Spring?_Seep_LB_@_9525
RRPOMA_269,RRPOMA,269,39.3,18.3,719.19,364.7493,
RRPOMA_270,RRPOMA,270,57.9,19.8,1146.42,364.71,
SESSMA_271,SESSMA,271,77.1,20.7,1595.97,364.6521,w/pockets_and_steps
RRPOMA_272,RRPOMA,272,7.6,24.7,187.72,364.575,Flat on LB (~100 feet to trees) 
RRPOMA_273,RRPOMA,273,17.4,26.2,455.88,364.5674,corner 
SESSMA_274,SESSMA,274,5.8,30.5,176.9,364.55,Step 
RRPOMA_275,RRPOMA,275,20.4,26.5,540.6,364.5442,
RRPOMA_276,RRPOMA,276,19.8,27.1,536.58,364.5238,
RRPOMA_277,RRPOMA,277,101.5,24.1,2446.15,364.504,Main Channel Pool 
SESSMA_278,SESSMA,278,86,29.9,2571.4,364.4025,Rapid 
RRLSMA_279,RRLSMA,279,27.4,22.9,627.46,364.3165,BW LB (1/2 unit) 
SCISL05A_280,SCISL05a,280,10.7,,,364.2891,
RRLSMA_281,RRLSMA,281,37.8,18.9,714.42,364.2784,These units in steep/fast section 
SESSMA_282,SESSMA,282,16.2,18.3,296.46,364.2406,
RRLSMA_283,RRLSMA,283,17.1,13.7,234.27,364.2244,
SESSMA_284,SESSMA,284,28.3,14.6,413.18,364.2073,
RRLSMA_285,RRLSMA,285,21.3,14,298.2,364.179,
RRMSMA_286,RRMSMA,286,17.1,23.5,401.85,364.1577,
RRLSMA_287,RRLSMA,287,29.6,14,414.4,364.1406,
RRPOMA_288,RRPOMA,288,26.2,11.6,303.92,364.111,Trench 
SESSMA_289,SESSMA,289,25,9.1,227.5,364.0848,@ Base of Canal Spillway 
RRMSMA_290,RRMSMA,290,7,14.6,102.2,364.0598,Narrow; fast; deep 
RRPOMA_291,RRPOMA,291,64.3,23.5,1511.05,364.0528,Marsh area LB 
RRPOMA_292,RRPOMA,292,207,31.1,6437.7,363.9885,
RRMSMA_293,RRMSMA,293,20.4,21.6,440.64,363.7815,
SESSMA_294,SESSMA,294,3,20.1,60.3,363.7611,Step 
RRPOMA_295,RRPOMA,295,18.6,24.1,448.26,363.7581, 
RRPOMA_296,RRPOMA,296,112.5,24.7,2778.75,363.7395,Boulder break between pools 
RRPOMA_297,RRPOMA,297,41.8,19.5,815.1,363.627, 
SESSMA_298,SESSMA,298,45.7,19.5,891.15,363.5852,
RRMSMA_299,RRMSMA,299,8.8,24.4,214.72,363.5395,Dangerous 
SESSMA_300,SESSMA,300,27.7,23.2,642.64,363.5307,
SESSMA_301,SESSMA,301,21.6,28,604.8,363.503,
RRMSMA_302,RRMSMA,302,21.6,31.4,678.24,363.4814,BW LB; Mult. WSE; Water flowing under boulders LB 
SESSMA_303,SESSMA,303,11.6,32.9,381.64,363.4598,Water flowing under boulders LB 
RRPOMA_304,RRPOMA,304,16.8,38.1,640.08,363.4482,Water flowing under boulders LB 
SESSMA_305,SESSMA,305,7,38.1,266.7,363.4314,Water flowing under boulders LB 
RRPOMA_306,RRPOMA,306,11.3,28,316.4,363.4244,Water flowing under boulders LB; BW pool LB 
SESSMA_307,SESSMA,307,30.5,26.5,808.25,363.4131,Some pockets; Grove of oak LB 
RRPOMA_308,RRPOMA,308,20.1,18.9,379.89,363.3826,Narrow 
RRPOMA_309,RRPOMA,309,174,26.8,4663.2,363.3625,Large tallis slope LB; open hillside 
SESSMA_310,SESSMA,310,5.2,18.3,95.16,363.1885,Cable overhead 
RRPOMA_311,RRPOMA,311,8.5,18.3,155.55,363.1833,Chute RB 
SESSMA_312,SESSMA,312,4.9,17.7,86.73,363.1748, 
RRMSMA_313,RRMSMA,313,16.5,16.2,267.3,363.1699,Rapid 
RRPOMA_314,RRPOMA,314,18,29.6,532.8,363.1534, 
SESSMA_315,SESSMA,315,5.2,29,150.8,363.1354,Step 
RRPOMA_316,RRPOMA,316,10.1,30.2,305.02,363.1302, 
SESSMA_317,SESSMA,317,26.2,31.1,814.82,363.1201,Rapid; mult.WSE 
RRLSMA_318,RRLSMA,318,12.8,30.8,394.24,363.0939,Mult.WSE 
RRMSMA_319,RRMSMA,319,15.2,38.1,579.12,363.0811,w/pockets 
RRPOMA_320,RRPOMA,320,12.5,34.1,426.25,363.0659,Some steps and WW 
RRPOMA_321,RRPOMA,321,59.7,33.8,2017.86,363.0534,Rock outcrop along road LB 
RRMSMA_322,RRMSMA,322,4.9,22.9,112.21,362.9937,Spring? Seep LB @ 15360 
RRLSMA_323,RRLSMA,323,26.8,21,562.8,362.9888,Some pool RB @ top 
SESSMA_324,SESSMA,324,2.4,19.8,47.52,362.962,Step 
RRLSMA_325,RRLSMA,325,10.4,22.3,231.92,362.9596,Spring? Seep LB @ 15444 
RRPOMA_326,RRPOMA,326,13.7,20.7,283.59,362.9492,From POW @ 15444 to RUN/GLIDE @ 16469 
SESSMA_327,SESSMA,327,3.7,19.2,71.04,362.9355, - water flows under boulders 
RRPOMA_328,RRPOMA,328,12.5,19.8,247.5,362.9318,Boulders large; side cast road and canal construction 
SESSMA_329,SESSMA,329,3.4,16.8,57.12,362.9193,w/pockets 
RRPOMA_330,RRPOMA,330,8.5,17.1,145.35,362.9159,
SESSMA_331,SESSMA,331,39,21.6,842.4,362.9074,
RRPOMA_332,RRPOMA,332,15.2,25,380,362.8684,SC LB 
RRPOMA_333,RRPOMA,333,11,24.1,265.1,362.8532,
RRPOMA_334,RRPOMA,334,11.6,22.6,262.16,362.8422,
SESSMA_335,SESSMA,335,9.1,11.6,105.56,362.8306,
RRPOMA_336,RRPOMA,336,10.1,13.1,132.31,362.8215,
SESSMA_337,SESSMA,337,5.2,16.8,87.36,362.8114,TRVS 
RRLSMA_338,RRLSMA,338,16.5,14.9,245.85,362.8062,Fast; steep 
RRPOMA_339,RRPOMA,339,11.3,14.3,161.59,362.7897,
RRPOMA_340,RRPOMA,340,12.8,16.5,211.2,362.7784,Break between pools 
SESSMA_341,SESSMA,341,2.7,14.6,39.42,362.7656,Step 
RRPOMA_342,RRPOMA,342,26.8,12.5,335,362.7629,Trench; narrow; deep 
SESSMA_343,SESSMA,343,3.7,12.8,47.36,362.7361,Step 
